0;Tratador;João Alberto;007.404.200-98;45;AB;-;Répteis e Aves;847621;1;
4;Veterinario;Antonio Djackson;007.254.284-87;45;A;+;Anfíbios e Aves;845983;2;
3;Tratador;Augusto Jorge;685.684.721-65;45;B;+;Répteis;214324;0;
7;Tratador;Rennan Cipriano;784.352.154-08;45;O;-;Aves;684798;0;
8;Veterinario;Gustavo Girão;486.781.235-48;45;AB;-;Aves Mamíferos;623512;0;
9;Tratador;César Rennor;084.983.254-55;45;B;-;Répteis;147845;2;
2;Veterinario;Silvio Sampaio;876.983.125-45;45;AB;+;Mamíferos e Répteis;321476;1;
6;Tratador;Charles Andrye;986.445.687-21;45;B;-;Répteis e Anfíbios;149658;0;
5;Veterinario;Athanasios Tsouanas;666.412.666-47;45;A;+;Anfíbios e Mamíferos;013478;2;
0;Tratador;Lorena Azevedo;794.354.241-32;45;O;+;Mamíferos;684978;0;
